,flightNumber,departureAirportFsCode,arrivalAirportFsCode,departureTime,arrivalTime,stops,departureTerminal,arrivalTerminal
0,3004,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:50:00.000,0,4.0,1.0
1,6028,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:50:00.000,0,4.0,1.0
2,5573,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:50:00.000,0,4.0,1.0
3,5010,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:50:00.000,0,4.0,1.0
4,1519,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:50:00.000,0,4.0,1.0
5,8726,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:50:00.000,0,4.0,1.0
6,7701,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
7,4302,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
8,6896,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
9,7444,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
10,6651,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
11,6768,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
12,7322,MAD,BCN,2023-04-19T07:30:00.000,2023-04-19T08:55:00.000,0,2.0,1.0
13,3018,MAD,BCN,2023-04-19T16:00:00.000,2023-04-19T17:20:00.000,0,4.0,1.0
14,5058,MAD,BCN,2023-04-19T16:00:00.000,2023-04-19T17:20:00.000,0,4.0,1.0
15,1523,MAD,BCN,2023-04-19T16:00:00.000,2023-04-19T17:20:00.000,0,4.0,1.0
16,5331,MAD,BCN,2023-04-19T16:00:00.000,2023-04-19T17:20:00.000,0,4.0,1.0
17,6076,MAD,BCN,2023-04-19T16:00:00.000,2023-04-19T17:20:00.000,0,4.0,1.0
18,6894,MAD,BCN,2023-04-19T16:00:00.000,2023-04-19T17:20:00.000,0,4.0,1.0
