userId,departureAirportFsCode,arrivalAirportFsCode,departureTime,arrivalTime,extraLuggage
0,MAD,BCN,2023-04-22 20:00:00,2023-04-22 21:20:00,4
0,BCN,MAD,2023-04-25 12:40:00,2023-04-25 14:05:00,7
1,MAD,BCN,2023-04-19 15:10:00,2023-04-19 16:35:00,4
1,BCN,MAD,2023-04-22 18:05:00,2023-04-22 19:30:00,3
2,MAD,BCN,2023-04-19 20:00:00,2023-04-19 21:20:00,7
2,BCN,MAD,2023-04-23 18:05:00,2023-04-23 19:30:00,4
3,PMI,AGP,2023-04-21 06:45:00,2023-04-21 08:20:00,5
3,AGP,PMI,2023-04-24 20:40:00,2023-04-24 22:05:00,3
4,MAD,BCN,2023-04-19 16:30:00,2023-04-19 17:50:00,6
4,BCN,MAD,2023-04-23 11:35:00,2023-04-23 13:05:00,4
5,MAD,AGP,2023-04-21 15:00:00,2023-04-21 16:15:00,4
5,AGP,MAD,2023-04-25 09:20:00,2023-04-25 10:40:00,4
6,BCN,PMI,2023-04-22 18:45:00,2023-04-22 19:30:00,4
6,PMI,BCN,2023-04-25 08:00:00,2023-04-25 08:55:00,2
7,BCN,AGP,2023-04-21 06:50:00,2023-04-21 08:30:00,3
7,AGP,BCN,2023-04-24 15:10:00,2023-04-24 16:50:00,3
8,MAD,AGP,2023-04-21 10:35:00,2023-04-21 11:50:00,5
8,AGP,MAD,2023-04-24 08:35:00,2023-04-24 09:45:00,2
9,BCN,PMI,2023-04-20 16:05:00,2023-04-20 17:00:00,4
9,PMI,BCN,2023-04-24 07:05:00,2023-04-24 07:55:00,6
10,PMI,AGP,2023-04-22 15:40:00,2023-04-22 17:15:00,6
10,AGP,PMI,2023-04-25 16:20:00,2023-04-25 17:50:00,2
11,BCN,PMI,2023-04-21 13:40:00,2023-04-21 14:40:00,7
11,PMI,BCN,2023-04-24 21:10:00,2023-04-24 22:05:00,4
12,MAD,PMI,2023-04-22 19:35:00,2023-04-22 20:55:00,3
12,PMI,MAD,2023-04-25 10:40:00,2023-04-25 12:05:00,3
13,BCN,AGP,2023-04-20 15:50:00,2023-04-20 17:30:00,3
13,AGP,BCN,2023-04-24 06:45:00,2023-04-24 08:25:00,5
14,PMI,AGP,2023-04-19 19:50:00,2023-04-19 21:25:00,2
14,AGP,PMI,2023-04-22 13:35:00,2023-04-22 15:05:00,5
15,MAD,AGP,2023-04-20 07:30:00,2023-04-20 08:45:00,5
15,AGP,MAD,2023-04-24 08:35:00,2023-04-24 09:45:00,2
16,BCN,PMI,2023-04-20 20:40:00,2023-04-20 21:30:00,3
16,PMI,BCN,2023-04-24 21:10:00,2023-04-24 22:05:00,8
17,MAD,PMI,2023-04-22 17:05:00,2023-04-22 18:25:00,3
17,PMI,MAD,2023-04-25 08:00:00,2023-04-25 09:25:00,2
18,MAD,BCN,2023-04-21 20:00:00,2023-04-21 21:20:00,7
18,BCN,MAD,2023-04-25 10:05:00,2023-04-25 11:30:00,1
19,BCN,AGP,2023-04-19 06:50:00,2023-04-19 08:30:00,6
19,AGP,BCN,2023-04-22 23:10:00,2023-04-23 00:45:00,4
