user_id,gender,nationality,dob,is_traveller,city
0,Female,Spain,1963-09-25,t,Palma
1,Male,Spain,1996-12-12,t,Palma
2,Female,Spain,1976-07-13,t,Barcelona
3,Male,Spain,1981-03-04,t,Madrid
4,Female,Spain,1968-03-16,t,Madrid
5,Male,Spain,1993-06-26,t,Palma
6,Female,Spain,1966-08-14,t,Palma
7,Male,Spain,2003-09-18,t,Palma
8,Female,Spain,1997-08-20,t,Málaga
9,Male,Spain,1967-12-09,t,Barcelona
10,Female,Spain,1986-09-13,t,Madrid
11,Male,Spain,2003-06-08,t,Palma
12,Female,Spain,1975-07-02,t,Madrid
13,Male,Spain,1999-07-28,t,Málaga
14,Female,Spain,1972-04-05,t,Palma
15,Male,Spain,1981-05-23,t,Málaga
16,Female,Spain,1990-03-27,t,Málaga
17,Male,Spain,1964-04-18,t,Barcelona
18,Female,Spain,1996-01-15,t,Barcelona
19,Male,Spain,1964-06-14,t,Málaga
20,Female,Spain,1967-06-21,f,Madrid
21,Male,Spain,2005-09-11,f,Palma
22,Female,Spain,1992-06-27,f,Madrid
23,Male,Spain,1974-09-05,f,Palma
24,Female,Spain,1967-09-20,f,Madrid
25,Female,Spain,1988-01-06,f,Málaga
26,Male,Spain,2005-05-08,f,Palma
27,Female,Spain,1978-10-09,f,Barcelona
28,Male,Spain,1968-01-26,f,Barcelona
29,Female,Spain,2004-10-15,f,Madrid
30,Male,Spain,1977-02-14,f,Madrid
31,Female,Spain,1990-03-08,f,Málaga
32,Male,Spain,1988-09-24,f,Málaga
33,Female,Spain,1967-03-18,f,Madrid
34,Male,Spain,1995-08-23,f,Málaga
35,Female,Spain,1981-05-07,f,Barcelona
36,Male,Spain,1968-04-22,f,Barcelona
37,Female,Spain,1975-12-20,f,Barcelona
38,Male,Spain,1966-05-25,f,Málaga
39,Female,Spain,1971-11-04,f,Barcelona
