country1,name1,country2,name2,distance_km,currency,lpg_price,diesel_price,gasoline_price
Spain,Madrid,Spain,Alacant,360.1276166,euro,28.03233368,27.72982648,36.82268867
Spain,Madrid,Spain,Malaga,414.9576716,euro,32.30030516,31.95174072,42.42900697
Spain,Madrid,Spain,Sevilla,390.5041916,euro,30.39684627,30.06882275,39.92866309
Spain,Madrid,Spain,Palma,550.5811893,euro,42.85723978,42.39475158,56.29637603
Spain,Madrid,Spain,Barcelona,506.9220158,euro,39.45880971,39.03299521,51.83226919
Spain,Alacant,Spain,Malaga,391.4768538,euro,30.4725583,30.14371774,40.02811683
Spain,Alacant,Spain,Sevilla,495.9599896,euro,38.60552559,38.1889192,50.71141298
Spain,Alacant,Spain,Palma,304.1419205,euro,23.67440709,23.41892788,31.09820723
Spain,Alacant,Spain,Barcelona,407.2523796,euro,31.70052523,31.35843323,41.64114856
Spain,Malaga,Spain,Sevilla,158.3581198,euro,12.32659604,12.19357522,16.19195939
Spain,Malaga,Spain,Palma,695.5684257,euro,54.14304626,53.55876878,71.12117596
Spain,Malaga,Spain,Barcelona,770.3567915,euro,59.96457265,59.31747294,78.76821157
Spain,Sevilla,Spain,Palma,791.8867884,euro,61.64046761,60.97528271,80.96963223
Spain,Sevilla,Spain,Barcelona,831.5570047,euro,64.72839725,64.02988936,85.02587218
Spain,Palma,Spain,Barcelona,205.3060396,euro,15.98102212,15.80856505,20.99233725
