Weight,A,B,C,D
1,16.78,17.05,20.23,40.1
2,16.78,17.05,20.23,58.07
3,18.43,18.86,25,66.03
4,20.08,20.67,29.77,73.99
5,21.73,22.48,34.54,81.95
6,25.86,26.94,37.97,89.91
7,28.15,29.55,41.4,97.88
8,30.44,32.16,44.83,105.85
9,32.73,34.77,48.26,113.82
10,35.02,37.38,51.69,121.79
11,37.31,39.99,54.7,129.75
12,39.6,42.6,57.71,137.71
13,41.89,45.21,60.72,145.67
14,44.18,47.82,63.73,153.63
15,46.47,50.43,66.74,161.59
16,48.76,53.04,69.75,169.55
17,51.05,55.65,72.76,177.51
18,53.34,58.26,75.77,185.47
19,55.63,60.87,78.78,193.43
20,57.92,63.48,81.79,201.39
21,60.21,66.09,85.79,209.35
22,62.5,68.7,89.79,217.31
23,64.79,71.31,93.79,225.27
24,67.08,73.92,97.79,233.23
25,69.37,76.53,101.79,241.19
26,71.66,79.14,105.79,249.15
27,73.95,81.75,109.79,257.11
28,76.24,84.36,113.79,265.07
29,78.53,86.97,117.79,273.03
30,80.82,89.58,121.79,280.99
40,103.72,115.68,161.79,360.59
50,126.62,141.78,201.79,440.19
60,149.52,167.88,241.79,519.79
70,172.42,193.98,281.79,599.39
